Frame_ID,Keypoint_Index,Keypoint_Name,GT_X,GT_Y,GT_Visibility,Pred_X,Pred_Y,Error_Distance,PCK_Threshold,Is_Correct_PCK,Frame_PCK_Score,Frame_OKS_Score
1,0,R_Shoulder,746.69,531.46,2,812.45,443.08,110.16,90.48,0,0,0.7251
1,1,L_Shoulder,716.03,632.79,2,807.15,443.29,210.27,90.48,0,0,0.7251
1,2,R_Elbow,804.86,673.96,2,834.61,454.63,221.34,90.48,0,0,0.7251
1,3,L_Elbow,863.6,547.08,2,793.82,452.34,117.66,90.48,0,0,0.7251
1,4,R_Wrist,902.71,628.01,2,831.09,470.12,173.38,90.48,0,0,0.7251
1,5,L_Wrist,921.48,673.77,2,815.19,468.32,231.32,90.48,0,0,0.7251
1,6,R_Hip,840.86,711.42,2,860.7,542.33,170.25,90.48,0,0,0.7251
1,7,L_Hip,944.93,714.53,2,743.32,535.7,269.5,90.48,0,0,0.7251
1,8,R_Knee,937.1,908.56,2,897.77,621.63,289.62,90.48,0,0,0.7251
1,9,L_Knee,741.73,725.49,2,717.98,624.52,103.72,90.48,0,0,0.7251
1,10,R_Ankle,831.38,721.41,2,924.92,666.5,108.46,90.48,0,0,0.7251
1,11,L_Ankle,848.76,921.65,2,803.65,668.54,257.1,90.48,0,0,0.7251
2,0,R_Shoulder,747.08,531.58,2,812.41,443.14,109.95,90.37,0,0,0.7251
2,1,L_Shoulder,716.52,632.3,2,807.05,443.29,209.57,90.37,0,0,0.7251
2,2,R_Elbow,804.81,673.6,2,835.05,454.64,221.04,90.37,0,0,0.7251
2,3,L_Elbow,863.58,547,2,793.68,451.48,118.36,90.37,0,0,0.7251
2,4,R_Wrist,902.2,628.01,2,831.49,470.5,172.66,90.37,0,0,0.7251
2,5,L_Wrist,921.81,674.06,2,815.68,469.14,230.77,90.37,0,0,0.7251
2,6,R_Hip,840.95,711.25,2,860.94,542.32,170.11,90.37,0,0,0.7251
2,7,L_Hip,945.14,714.8,2,743.38,535.03,270.23,90.37,0,0,0.7251
2,8,R_Knee,936.89,908.56,2,897.77,621.72,289.5,90.37,0,0,0.7251
2,9,L_Knee,741.86,725.21,2,718.51,624.31,103.57,90.37,0,0,0.7251
2,10,R_Ankle,831.53,721.61,2,925.19,666.53,108.65,90.37,0,0,0.7251
2,11,L_Ankle,848.85,921.33,2,802.79,668.87,256.63,90.37,0,0,0.7251
3,0,R_Shoulder,747.47,531.71,2,812.48,443.14,109.87,90.26,0,0,0.7249
3,1,L_Shoulder,717.02,631.8,2,807.07,443.23,208.96,90.26,0,0,0.7249
3,2,R_Elbow,804.76,673.23,2,835.06,454.64,220.68,90.26,0,0,0.7249
3,3,L_Elbow,863.55,546.93,2,793.58,450.67,119,90.26,0,0,0.7249
3,4,R_Wrist,901.69,628.01,2,831.9,470.72,172.08,90.26,0,0,0.7249
3,5,L_Wrist,922.14,674.36,2,816.46,469.59,230.43,90.26,0,0,0.7249
3,6,R_Hip,841.04,711.09,2,860.95,542.23,170.03,90.26,0,0,0.7249
3,7,L_Hip,945.36,715.07,2,743.36,534.52,270.93,90.26,0,0,0.7249
3,8,R_Knee,936.69,908.56,2,897.77,621.77,289.42,90.26,0,0,0.7249
3,9,L_Knee,741.99,724.94,2,719.04,624.21,103.32,90.26,0,0,0.7249
3,10,R_Ankle,831.68,721.8,2,925.4,666.55,108.8,90.26,0,0,0.7249
3,11,L_Ankle,848.94,921.01,2,802.41,669.09,256.19,90.26,0,0,0.7249
