video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,635.523987,174.615479,,,,0.026000,
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,652.228149,166.368912,,,,0.025000,
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,631.686890,167.026459,,,,0.025000,
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,680.139282,174.038635,,,,0.035000,
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,617.321777,171.469864,,,,0.035000,
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,5,left_shoulder,1,1,2.000000,711.130000,247.920000,2.000000,704.923645,234.722565,14.583934,42.942551,1,0.079000,0.691000
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,6,right_shoulder,1,1,2.000000,605.810000,253.570000,2.000000,614.257080,229.202271,25.790297,42.942551,1,0.079000,0.314780
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,7,left_elbow,1,1,2.000000,715.880000,329.110000,2.000000,691.734680,319.673279,25.923892,42.942551,1,0.072000,0.245118
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,8,right_elbow,1,1,2.000000,598.720000,333.090000,2.000000,593.505188,323.477509,10.935916,42.942551,1,0.072000,0.778640
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,9,left_wrist,1,1,2.000000,700.830000,410.790000,2.000000,703.466125,394.662079,16.341940,42.942551,1,0.062000,0.470720
MP_T_Jongkok_1,movenet,0,0.000000,ok,1,direct,0.371728,10,right_wrist,1,1,2.000000,597.940000,412.650000,0.000000,602.617920,394.689301,,42.942551,0,0.062000,0.000000
