video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,706.582794,280.243828,,,,0.026000,
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,705.616531,268.154683,,,,0.025000,
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,692.884750,268.564932,,,,0.025000,
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,698.258438,272.133837,,,,0.035000,
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,671.139679,274.356787,,,,0.035000,
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,5,left_shoulder,1,1,2.000000,718.820000,354.970000,2.000000,696.884918,342.421875,25.270601,46.786207,1,0.079000,0.392620
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,6,right_shoulder,1,1,2.000000,629.820000,359.400000,2.000000,645.755920,345.050697,21.444254,46.786207,1,0.079000,0.510060
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,7,left_elbow,1,1,2.000000,744.230000,439.050000,0.000000,720.714493,411.934090,,46.786207,0,0.072000,0.000000
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,8,right_elbow,1,1,2.000000,667.820000,440.250000,2.000000,675.035934,442.572384,7.580447,46.786207,1,0.072000,0.903681
SP_R_DudukBerdiri_1,mediapipe,0,0.000000,ok,1,direct,0.786739,9,left_wrist,1,1,2.000000,792.750000,483.400000,0.000000,768.107147,457.764287,,46.786207,0,0.062000,0.000000
