video_name,algorithm,frame_idx,timestamp_sec,status,matched_pred_found,match_method,matched_pred_score,keypoint_idx,keypoint_name,is_active,is_eval_joint,gt_v,gt_x,gt_y,pred_v,pred_x,pred_y,distance_px,pck_threshold_px,pck_correct,oks_sigma,oks_term
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,0,nose,0,0,0.000000,0.000000,0.000000,2.000000,637.875305,172.418549,,,,0.026000,
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,1,left_eye,0,0,0.000000,0.000000,0.000000,2.000000,648.633789,161.660080,,,,0.025000,
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,2,right_eye,0,0,0.000000,0.000000,0.000000,2.000000,632.496094,167.039322,,,,0.025000,
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,3,left_ear,0,0,0.000000,0.000000,0.000000,2.000000,675.529968,172.418549,,,,0.035000,
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,4,right_ear,0,0,0.000000,0.000000,0.000000,2.000000,627.116821,172.418549,,,,0.035000,
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,5,left_shoulder,1,1,2.000000,707.830000,239.520000,2.000000,702.426147,242.348602,6.099394,44.929645,1,0.079000,0.942652
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,6,right_shoulder,1,1,2.000000,604.330000,246.810000,2.000000,605.599915,247.727829,1.566874,44.929645,1,0.079000,0.996110
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,7,left_elbow,1,1,2.000000,717.660000,335.380000,2.000000,718.563843,333.795593,1.824082,44.929645,1,0.072000,0.993661
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,8,right_elbow,1,1,2.000000,592.130000,332.240000,2.000000,594.841431,333.795593,3.125976,44.929645,1,0.072000,0.981498
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,9,left_wrist,1,1,2.000000,700.250000,407.010000,2.000000,702.426147,398.346405,8.932721,44.929645,1,0.062000,0.814110
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,10,right_wrist,1,1,2.000000,602.130000,408.050000,2.000000,600.220703,403.725616,4.727125,44.929645,1,0.062000,0.944033
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,11,left_hip,1,1,2.000000,686.090000,404.600000,2.000000,686.288452,409.104858,4.509227,44.929645,1,0.107000,0.982558
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,12,right_hip,1,1,2.000000,631.610000,404.460000,2.000000,627.116821,414.484100,10.985046,44.929645,1,0.107000,0.900843
SP_T_Jongkok_1,hrnet,0,0.000000,ok,1,direct,0.892503,13,left_knee,1,1,2.000000,702.150000,533.440000,2.000000,702.426147,527.447998,5.998362,44.929645,1,0.087000,0.953995
